SMILES,score
COc1nccc(NCCNC2CCCNC2)c1C(C)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,10.82
CC1(CNc2cc(C(F)(F)F)cnc2NCCNC(=O)Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)CCN(S(C)(=O)=O)C1,7.56
C=CC(C)N1CCCC(C(C)Nc2cc(C(C)n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc(Cl)n2)C1,8.07
CC(C)C1CC(O)(C(C)(C)CNc2ccc(OC(F)(F)F)c(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2)C1,9.4
COc1ccc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(NC(C)(CO)CC(C)n2ccc(C)n2)c1OC,10.43
CC(C)(C)OC(=O)Nc1ccc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(NC2CCCN(CCCCCCO)C2)c1,14.29
CC(c1cc(C(F)(F)F)cnc1N(CCCCN)c1snc2ccccc12)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,7.42
CC1CC(Nc2cccc(F)c2CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)CCN1Cc1ccno1,10.82
Cc1cc(F)ccc1C1(CNc2cccc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)n2)CC(O)C1,9.22
CC1CC(C)CC(Nc2c(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c(C(F)(F)F)nn2C)(C2(O)CCN(C)C2)C1,9.96
CC(O)CN1CCCCC(CNc2ccc(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c(C(F)(F)F)c2)C1,9.85
CC(c1cc(NC2CC3CCC(C2)N3)ccc1NC(=O)OC(C)(C)C)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.58
CC1(NC(=O)N(c2ncnc(Cl)c2CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)C(C)(C)C)CCC(N)CC1,10.3
Cc1nn(C)c(NC2CCC(NC(C)c3nn[nH]n3)CC2)c1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,10.24
Cc1ccc(C(CCO)C(C)(C)Nc2cccc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)n2)c(C)c1,9.05
CNC(=O)C(C)NC1CC(Nc2cc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc(C(F)(F)F)c2)C1,10.04
N#Cc1cc(NC(CN)CNc2cc(Br)cc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2)ccn1,7.48
Cc1c(NC(=O)Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cccc1N(CCCN)CC1CCC=CO1,4.92
Cc1ccc(NC(=O)Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1NCC1CCN(C2CCCC2O)CC1,7.07
COc1ccccc1C1(Nc2cc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc3c2OCO3)CC(O)C1,9.15
CNC(=O)CN1CCCC(Nc2ncc(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc2Cl)C1,9.14
OCC(c1nnnn1Cc1cc(Cl)nnc1NCC1CCN1CCCCCC1CC1)N1CCc2cccc(Cl)c2C1,13.12
CCS(=O)(=O)CCN1CCC1CNc1cc(Br)c(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(Br)c1,10.84
CC(C)C(N)C(C)(C)CNc1ncnc(Cl)c1C(C)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,12.87
COc1cc(NCC(CO)c2ccc(O)cc2F)cc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1OC,12.82
CCN(CCCNc1ccc(Br)c(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1)C(=O)c1ccco1,6.56
CCCC(Nc1nnc(Cl)cc1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)C1(O)CCCN(C)C1,11.02
CC(CNc1ccc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)o1)C(O)c1ccco1,10.28
Cn1ccnc1N(c1nc(Cl)c(F)cc1CCn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)C1CCC(N)CC1,15.35
CC(C)(CNc1cc(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc(C(F)(F)F)c1)C(O)c1cccs1,8.6
OCCC(Nc1cc(Br)cc(Cl)c1-n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)c1cccc2c1OCC2,10.77
Cc1cc(Nc2ccc(Br)c(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2F)nn1CC(C)(CO)CO,12.41
CC(CN)NC1CCC(=O)N(c2cc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)ccc2OC(F)(F)F)CC1,11.07
CCS(=O)(=O)N(c1cccc(C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1F)C1CCC(N)CC1,11.2
OCCC(COCC1CCCO1)Nc1cc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)ccc1C(F)(F)F,12.69
CN1CCC(Nc2cc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)ccc2OC(F)F)(c2ccncc2F)C1,7.09
O=C(O)c1ccc2c(c1)C(Nc1ncc(Br)cc1Cn1nnnc1C(CO)N1CCc3cccc(Cl)c3C1)CCN2,10.71
COc1cc(NCC(CC(C)O)c2cccc(OC(C)C)c2)ccc1-n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,11.22
CC(CNc1ccc(NC(=O)Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1C(F)(F)F)C(O)C1(C)CCCS1,7.89
CC(C)CCN1C2CCC1CC(Nc1ccc(NC(=O)Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc1Cl)C2,9.1
Cc1ccc(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(NCC(C)(O)CC(C)N(C)C2CC2)n1,8.77
CC(O)C(C)N1CCOC(CNc2cc(Cl)ccc2-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)C1,9.53
OCC(c1nnnn1CCc1cc(Br)cc(NCC2(C(O)c3ccccc3O)CC2)c1)N1CCc2cccc(Cl)c2C1,10.35
COC(=O)C(C)N(CC1CCC(N)C1)c1ccc(NC(=O)OC(C)(C)C)c(C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1,6.3
CC(c1cc(Br)cnc1N1CCCC(CN)C1c1ccsc1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.74
CCOc1cncc(N2CCCC(Nc3ccc(I)c(-n4nnnc4C(CO)N4CCc5cccc(Cl)c5C4)c3)C2)n1,10.34
OCC(c1nnnn1-c1ccncc1NCCCCN1CCCOc2ccccc21)N1CCc2cccc(Cl)c2C1,15.27
Cc1ccc(C)c(CN2CCC(CNc3ccc(C(F)(F)F)cc3-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)CC2)c1,11.19
CC(C)C(N)C(=O)NC1CCC(Nc2ccc(Br)c(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2)CC1,11.99
C[C@H](c1cccc(NC(CN2CCC[C@@H](O)C2)=NO)c1F)n1nnnc1[C@@H](CO)N1CCc2cccc(Cl)c2C1,13.31
COc1nc(NC(c2cncs2)C(C)(C)CO)ccc1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,7.35
CCC(CCNc1cccc(CNC(=O)Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1)CNC(=O)c1cncc(C)c1,10.13
Cc1ccc(F)cc1C1(Nc2ccc(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc2)CCC(O)CC1,10.69
CC1C(Nc2cc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c(Br)cn2)CCCN1C(=O)C1CC1,6.84
CC(c1ccc(NC(=O)OC(C)(C)C)c(NCC(F)CCn2cncn2)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.51
OCC(c1nnnn1-c1c(Cl)ncnc1NC1CCC(N2CC(O)C(O)C2)C1)N1CCc2cccc(Cl)c2C1,10.09
CC(c1c(F)cccc1NC(C)(CCO)CCF)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,14.98
